id	fr	de	file_name
1	Ceci est une salle de classe.	Das ist ein Klassenzimmer.	a1_01
2	Le nom du professeur est M. Müller.	Der Lehrer heißt Herr Müller.	a1_01
3	L'élève s'appelle Anna.	Die Schülerin heißt Anna.	a1_01
4	La fenêtre est grande.	Das Fenster ist groß.	a1_01
5	La table est marron.	Der Tisch ist braun.	a1_01
6	Le plateau est noir.	Die Tafel ist schwarz.	a1_01
7	La chaise est à côté de la table.	Der Stuhl steht neben dem Tisch.	a1_01
8	Le livre est posé sur la table.	Das Buch liegt auf dem Tisch.	a1_01
9	La porte est ouverte.	Die Tür ist offen.	a1_01
10	Le crayon est court.	Der Bleistift ist kurz.	a1_01
11	La lampe est brillante.	Die Lampe ist hell.	a1_01
12	Le magazine est nouveau.	Das Heft ist neu.	a1_01
13	L'enseignant écrit au tableau.	Der Lehrer schreibt an die Tafel.	a1_01
14	L'élève lit le livre.	Die Schülerin liest das Buch.	a1_01
15	Le mot est écrit au tableau.	Das Wort steht auf der Tafel.	a1_01
16	La gomme est posée par terre.	Der Radiergummi liegt auf dem Boden.	a1_01
17	C'est une question difficile.	Die Frage ist schwer.	a1_01
18	Le résultat est correct.	Das Ergebnis ist richtig.	a1_01
19	La journée est ensoleillée.	Der Tag ist sonnig.	a1_01
20	Le cours commence à huit heures.	Die Klasse beginnt um acht Uhr.	a1_01
21	Apprendre, c'est amusant.	Das Lernen macht Spaß.	a1_01
22	Le professeur explique la grammaire.	Der Lehrer erklärt die Grammatik.	a1_01
23	Les élèves écoutent.	Die Schüler hören zu.	a1_01
24	L'exemple est clair.	Das Beispiel ist klar.	a1_01
25	Le cours se termine à neuf heures.	Die Stunde endet um neun Uhr.	a1_01
26	Les leçons sont intéressantes.	Der Unterricht ist interessant.	a1_01
27	Le dictionnaire est sur l'étagère.	Das Wörterbuch liegt auf dem Regal.	a1_01
28	La craie est blanche.	Die Kreide ist weiß.	a1_01
29	Je suis étudiant.	Ich bin ein Student.	a1_02
30	J'ai un appartement.	Ich habe eine Wohnung.	a1_02
31	Il y a un café à proximité.	Es gibt ein Café in der Nähe.	a1_02
32	J'achète un livre.	Ich kaufe ein Buch.	a1_02
33	C'est une bonne idée.	Das ist eine gute Idee.	a1_02
34	Je prends un café.	Ich trinke einen Kaffee.	a1_02
35	Un homme se tient là.	Dort steht ein Mann.	a1_02
36	Voici une femme avec un enfant.	Das ist eine Frau mit einem Kind.	a1_02
37	J'ai besoin d'un stylo.	Ich brauche einen Stift.	a1_02
38	C'est un chien.	Das ist ein Hund.	a1_02
39	Il a un chat.	Er hat eine Katze.	a1_02
40	Nous regardons un film.	Wir sehen einen Film.	a1_02
41	C'est une belle ville.	Das ist eine schöne Stadt.	a1_02
42	Je cherche un hôtel.	Ich suche ein Hotel.	a1_02
43	Elle achète un sac.	Sie kauft eine Tasche.	a1_02
44	Il y a un parc là-bas.	Dort ist ein Park.	a1_02
45	Il lit un journal.	Er liest eine Zeitung.	a1_02
46	Je mange un petit pain.	Ich esse ein Brötchen.	a1_02
47	C'est un bon restaurant.	Das ist ein gutes Restaurant.	a1_02
48	Nous avons une heure.	Wir haben eine Stunde Zeit.	a1_02
49	La journée a été longue.	Das ist ein langer Tag.	a1_02
50	Elle écrit une lettre.	Sie schreibt einen Brief.	a1_02
51	J'écoute une chanson.	Ich höre ein Lied.	a1_02
52	C'est un mot simple.	Das ist ein einfaches Wort.	a1_02
53	Il a un frère et une sœur.	Er hat einen Bruder und eine Schwester.	a1_02
54	Je vois un oiseau dans l'arbre.	Ich sehe einen Vogel im Baum.	a1_02
55	C'est une vieille église.	Das ist eine alte Kirche.	a1_02
56	Elle porte un manteau rouge.	Sie trägt einen roten Mantel.	a1_02
57	Un chien - deux chiens.	Ein Hund - zwei Hunde.	a1_03
58	Un chat - trois chats.	Eine Katze - drei Katzen.	a1_03
59	Un enfant – quatre enfants.	Ein Kind - vier Kinder.	a1_03
60	Une voiture – plusieurs voitures.	Ein Auto - viele Autos.	a1_03
61	La maison est ancienne. Les maisons sont anciennes aussi.	Das Haus ist alt. Die Häuser sind auch alt.	a1_03
62	Une femme parle. Les femmes parlent.	Eine Frau spricht. Die Frauen sprechen.	a1_03
63	Un homme travaille. Les hommes travaillent.	Ein Mann arbeitet. Die Männer arbeiten.	a1_03
64	Un livre est posé sur la table. Les autres livres sont là aussi.	Ein Buch liegt auf dem Tisch. Die Bücher liegen auch dort.	a1_03
65	Une ville est grande. Plusieurs villes sont grandes.	Eine Stadt ist groß. Viele Städte sind groß.	a1_03
66	Mon copain vient. Mes amis viennent aussi.	Mein Freund kommt. Meine Freunde kommen auch.	a1_03
67	Une lampe brille. Les lampes brillent.	Eine Lampe ist hell. Die Lampen sind hell.	a1_03
68	Une pomme est rouge. Les pommes sont rouges.	Ein Apfel ist rot. Die Äpfel sind rot.	a1_03
69	Une chaise est neuve. Les chaises sont neuves.	Ein Stuhl ist neu. Die Stühle sind neu.	a1_03
70	Un oiseau chante. Les oiseaux chantent.	Ein Vogel singt. Die Vögel singen.	a1_03
71	Une fleur est belle. Les fleurs sont belles.	Eine Blume ist schön. Die Blumen sind schön.	a1_03
72	Un élève apprend. Les élèves apprennent.	Ein Schüler lernt. Die Schüler lernen.	a1_03
73	Un train roule vite. Les trains roulent vite.	Ein Zug fährt schnell. Die Züge fahren schnell.	a1_03
74	Une tasse est sur la table. Les tasses sont là.	Eine Tasse steht auf dem Tisch. Die Tassen stehen dort.	a1_03
75	Une fenêtre est ouverte. Les fenêtres sont ouvertes.	Ein Fenster ist offen. Die Fenster sind offen.	a1_03
76	Un des professeurs est gentil. Les professeurs sont gentils.	Ein Lehrer ist nett. Die Lehrer sind nett.	a1_03
77	Les appartements sont chers.	Eine Wohnung ist teuer. Die Wohnungen sind teuer.	a1_03
78	Un mot est important. Les mots sont importants.	Ein Wort ist wichtig. Die Wörter sind wichtig.	a1_03
79	Un enfant joue. Deux enfants jouent aussi.	Ein Kind spielt. Zwei Kinder spielen auch.	a1_03
80	L'une achète des pommes. Les autres achètent des oranges.	Eine Frau kauft Äpfel. Die anderen Frauen kaufen Orangen.	a1_03
81	De nombreux invités arrivent aujourd'hui.	Heute kommen viele Gäste.	a1_03
82	J'achète trois rouleaux et deux journaux.	Ich kaufe drei Brötchen und zwei Zeitungen.	a1_03
83	Les livres et les cahiers sont posés sur la table.	Die Bücher und die Hefte liegen auf dem Tisch.	a1_03
84	Je m'appelle Thomas.	Ich heiße Thomas.	a1_04
85	Tu es mon ami.	Du bist mein Freund.	a1_04
86	Il vient de Berlin.	Er kommt aus Berlin.	a1_04
87	Elle vit à Munich.	Sie wohnt in München.	a1_04
88	Il fait beau aujourd'hui.	Es ist ein schöner Tag.	a1_04
89	Nous allons à l'école ensemble.	Wir gehen zusammen in die Schule.	a1_04
90	Tu viens demain, n'est-ce pas ?	Ihr kommt morgen, oder?	a1_04
91	Ils parlent très bien allemand.	Sie sprechen sehr gut Deutsch.	a1_04
92	J'apprends tous les jours.	Ich lerne jeden Tag.	a1_04
93	Tu joues au football.	Du spielst Fußball.	a1_04
94	Il aime cuisiner.	Er kocht gerne.	a1_04
95	Elle lit un livre.	Sie liest ein Buch.	a1_04
96	Il existe de nombreuses possibilités.	Es gibt viele Möglichkeiten.	a1_04
97	Nous mangeons ensemble.	Wir essen zusammen.	a1_04
98	Vous êtes mes amis.	Ihr seid meine Freunde.	a1_04
99	Ce sont mes professeurs.	Sie sind meine Lehrer.	a1_04
100	J'habite à Francfort.	Ich wohne in Frankfurt.	a1_04
101	Vous buvez du thé.	Du trinkst Tee.	a1_04
102	Il écrit un courriel.	Er schreibt eine E-Mail.	a1_04
103	Elle écoute de la musique.	Sie hört Musik.	a1_04
