Lass uns etwas versuchen!	Essayons quelque chose !
Lass uns etwas versuchen!	Tentons quelque chose !
Ich muss schlafen gehen.	Je dois aller dormir.
Was ist das?	Qu'est-ce que c'est ?
Was ist das?	C'est quoi ?
Was ist das?	Qu'est-ce ?
Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!	Aujourd'hui nous sommes le 18 juin et c'est l'anniversaire de Muiriel !
Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!	Aujourd'hui c'est le 18 juin, et c'est l'anniversaire de Muiriel.
Herzlichen Glückwunsch zum Geburtstag, Muiriel!	Joyeux anniversaire Muiriel !
Muiriel ist jetzt 20.	Muiriel a 20 ans maintenant.
Muiriel ist jetzt 20.	Muiriel a désormais 20 ans.
"Das Passwort ist ""Muiriel""."	Le mot de passe est « Muiriel ».
Ich werde bald zurück sein.	Je serai bientôt de retour.
Ich finde keine Worte.	J'en perds mes mots.
Ich finde keine Worte.	Je ne trouve pas les mots.
Das wird nie enden.	Ça ne va jamais finir.
Das wird nie enden.	Ça n'en finira jamais.
Das wird nie enden.	Cela ne finira jamais.
Das wird nie enden.	Ça ne finira jamais.
Ich weiß einfach nicht, was ich sagen soll.	Je ne sais simplement pas quoi dire...
Das war ein böses Kaninchen.	C’était un méchant lapin.
Ich war in den Bergen.	J'étais dans les montagnes.
Ich weiß nicht, ob ich Zeit dazu habe.	Je ne sais pas si j'ai le temps.
Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.	Pour une certaine raison le microphone ne marchait pas tout à l'heure.
Letztendlich muss jeder selbst lernen.	Tout le monde doit apprendre par soi-même en fin de compte.
Die Ausbildung in dieser Welt enttäuscht mich.	L'éducation dans ce monde me déçoit.
Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.	L'apprentissage ne devrait pas être forcé. L'apprentissage devrait être encouragé.
"Es ist eine schwere Aufgabe, zwischen ""richtig"" und ""falsch"" zu unterscheiden, aber man muss es tun."	C'est une tâche difficile, choisir ce qui est « bon » ou « mauvais », mais il faut le faire.
Das wird nichts ändern.	Ça ne changera rien.
Das wird nichts ändern.	Ça ne va rien changer.
Das wird 30 € kosten.	Ça coûtera 30 €.
Das wird 30 € kosten.	Ça va faire 30 euros.
Ich verdiene 100 Euro pro Tag.	Je gagne 100 € par jour.
Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.	Il se peut que j'abandonne bientôt et fasse une sieste à la place.
Das liegt daran, dass du nicht allein sein willst.	C'est parce que tu ne veux pas être seul.
Das liegt daran, dass du nicht allein sein willst.	C'est parce que tu ne veux pas être seule.
Das wird nicht passieren.	Ça n'arrivera pas.
Manchmal kann er ein seltsamer Junge sein.	Parfois il peut être un gars bizarre.
Manchmal kann er ein seltsamer Junge sein.	Il peut parfois être un garçon étrange.
Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.	Je ferai de mon mieux pour ne pas perturber tes révisions.
Ich kann mich nur fragen, ob es für alle anderen dasselbe ist.	Je ne peux que me demander si c'est la même chose pour tous les autres.
Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.	Je suppose que c'est différent quand tu y penses à long terme.
Mach dir keine Sorgen.	Ne t'inquiète pas.
Mach dir keine Sorgen.	T'inquiète.
Ich vermisse dich.	Tu me manques.
Ich werde sie morgen anrufen, wenn ich zurückkomme.	Je les appellerai demain quand je reviendrai.
Ich mochte mysteriöse Charaktere schon immer mehr.	J'ai toujours plus apprécié les personnages mystérieux.
Du solltest schlafen.	Tu devrais dormir.
Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.	Je leur ai dit de m'envoyer un autre ticket.
Du bist so ungeduldig mit mir.	Tu es tellement impatiente avec moi.
Ich kann so ein Leben nicht leben.	Je ne peux pas vivre comme ça.
Ich wollte mal Astrophysiker werden.	Il fut un temps où je voulais être astrophysicien.
Ich mochte Biologie noch nie.	Je n'ai jamais aimé la biologie.
Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.	La dernière personne à qui j'ai raconté mon idée a pensé que j'étais cinglé.
Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen.	Si le monde n'était pas dans l'état où il est maintenant, je pourrais faire confiance à n'importe qui.
Unglücklicherweise stimmt es.	C'est malheureusement vrai.
Unglücklicherweise stimmt es.	C'est malheureusement exact.
Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten.	Ils sont trop occupés à se battre entre eux pour s'occuper d'idéaux communs.
Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten.	Ils sont trop occupés à se battre entre eux pour se consacrer à des idéaux communs.
Die meisten Leute denken, ich sei verrückt.	La plupart des gens pensent que je suis fou.
Nein, ich bin es nicht, du bist es!	Non je ne le suis pas, c'est toi qui l'es !
Das war mein Satz!	C'est ma réplique !
Er tritt mich!	Il me donne des coups de pied !
Er tritt mich!	Il me donne des coups de pied ! !
Bist du sicher?	Est-ce que tu es sûr ?
Bist du sicher?	Es-tu sûr ?
Bist du sicher?	Es-tu sûre ?
Dann haben wir ein Problem...	Alors il y a un problème...
Oh, da ist ein Schmetterling!	Oh, il y a un papillon !
Beeil dich!	Dépêche-toi !
Es überrascht mich nicht.	Ça ne me surprend pas.
Wenn ich so sein könnte...	Si je pouvais être comme ça...
Aus irgendeinem Grund fühle ich mich nachts lebendiger.	Pour une raison que j'ignore, je me sens plus vivant la nuit.
Das kommt auf den Zusammenhang an.	Ça dépend du contexte.
Willst du mich verdammt nochmal auf den Arm nehmen?!	Est-ce que tu te fous de moi ? !
Das ist das Dümmste, was ich je gesagt habe.	C'est la chose la plus stupide que j'ai jamais dite.
Ich will nicht erbärmlich sein, ich will cool sein!!	Je ne veux pas être lamentable, je veux être cool ! !
Wenn ich groß bin, will ich ein König sein.	Quand je serai grand, je veux être roi.
Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen.	L'Amérique est un endroit charmant pour vivre, si c'est pour gagner de l'argent.
Ich bin so dick.	Je suis si gros.
Na und?	Et alors ?
Na und?	Eh bien, quoi ?
Na und?	Et donc ?
Ich werde ihn erschießen.	Je vais le descendre.
Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.	Je ne suis pas un vrai poisson, je ne suis qu'une simple peluche.
Ich sag's ja nur!	Je ne fais que parler !
Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat.	C'était probablement ce qui a influencé leur décision.
Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.	Je me suis toujours demandé ce que ça ferait d'avoir des frères et sœurs.
Das hätte ich gesagt.	C'est ce que j'aurais dit.
Es würde ewig dauern, alles zu erklären.	Ça me prendrait l'éternité pour tout expliquer.
Es liegt daran, dass du ein Mädchen bist.	C'est parce que tu es une fille.
Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen.	Parfois je ne peux pas m'empêcher de montrer des émotions.
Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	C'est un mot pour lequel j'aimerais trouver un substitut.
Das wäre etwas, das ich programmieren sollte.	Ce serait quelque chose qu'il faudrait que je programme.
Ich beabsichtige nicht, selbstsüchtig zu sein.	Il n'est pas dans mon intention d'être égoïste.
Lass uns über das Schlimmste, das passieren könnte, nachdenken.	Réfléchissons au pire qui pourrait arriver.
Wie viele enge Freunde hast du?	Combien d'amis proches est-ce que tu as ?
Ich bin vielleicht asozial, aber das heißt nicht, dass ich nicht mit Leuten rede.	Il se peut que je sois antisocial, mais ça ne veut pas dire pas que je ne parle pas aux gens.
Das ist immer so gewesen.	C'est toujours tel que ça a été.
Das ist immer so gewesen.	Ça a toujours été ainsi.
